Size(n),S,Key Comparisons,Time(ms),Time(s)
2630000,32,58162766,215.0865,0.2150865
2640000,32,58430768,217.58839999999998,0.21758840000000002
2650000,32,58717447,218.06289999999998,0.2180629
2660000,32,58987019,218.4296,0.2184296
2670000,32,59261011,219.1135,0.21911350000000002
2680000,32,59532276,225.61849999999998,0.22561850000000003
2690000,32,59807116,220.4945,0.2204945
2700000,32,60089887,221.9658,0.22196580000000002
2710000,32,60354022,221.86079999999998,0.22186080000000002
2720000,32,60639642,223.8509,0.22385090000000002
2730000,32,60905441,226.81969999999998,0.2268197
2740000,32,61195269,232.5964,0.2325964
2750000,32,61475255,227.7299,0.2277299
2760000,32,61746824,228.03379999999999,0.2280338
2770000,32,62031753,226.7217,0.22672170000000003
2780000,32,62308543,229.61599999999999,0.22961600000000001
2790000,32,62584474,235.5726,0.23557260000000002
2800000,32,62869999,230.85209999999998,0.2308521
2810000,32,63154156,233.50969999999998,0.23350970000000001
2820000,32,63432285,234.53549999999998,0.2345355
2830000,32,63717087,232.5898,0.2325898
2840000,32,63992946,235.91989999999998,0.23591990000000002
2850000,32,64277709,234.6567,0.23465670000000002
2860000,32,64545714,239.3981,0.2393981
2870000,32,64843041,235.48309999999998,0.23548310000000003
2880000,32,65112522,244.8284,0.2448284
2890000,32,65398701,236.9518,0.23695180000000002
2900000,32,65685113,238.43089999999998,0.2384309
2910000,32,65967123,242.55669999999998,0.24255670000000001
2920000,32,66263092,241.03549999999998,0.2410355
2930000,32,66543727,240.4365,0.24043650000000003
2940000,32,66831265,243.4544,0.24345440000000002
2950000,32,67110343,247.41549999999998,0.2474155
2960000,32,67399548,246.3672,0.2463672
2970000,32,67679311,246.6259,0.2466259
2980000,32,67973108,248.9674,0.2489674
2990000,32,68252775,248.85909999999998,0.24885910000000003
3000000,32,68542603,247.6607,0.2476607
3010000,32,68825956,248.5717,0.2485717
3020000,32,69120800,248.1538,0.2481538
3030000,32,69402831,252.3699,0.25236990000000004
3040000,32,69703111,253.44379999999998,0.2534438
3050000,32,69997212,252.4349,0.2524349
3060000,32,70278595,255.6036,0.25560360000000004
3070000,32,70561990,257.53389999999996,0.25753390000000004
3080000,32,70856735,253.47899999999998,0.253479
3090000,32,71141131,256.62379999999996,0.2566238
3100000,32,71440534,254.5608,0.25456080000000003
3110000,32,71750605,262.3445,0.26234450000000004
3120000,32,72037137,257.5804,0.25758040000000004
3130000,32,72309756,261.4213,0.2614213
3140000,32,72603971,266.5284,0.2665284
3150000,32,72898646,261.12559999999996,0.2611256
3160000,32,73193023,266.70889999999997,0.2667089
3170000,32,73485500,264.1601,0.2641601
3180000,32,73783922,264.2509,0.2642509
3190000,32,74085892,263.5661,0.2635661
3200000,32,74367693,264.288,0.264288
3210000,32,74676383,266.09819999999996,0.2660982
3220000,32,74975758,267.7238,0.2677238
3230000,32,75258227,276.9226,0.2769226
3240000,32,75568764,267.9303,0.2679303
3250000,32,75855701,272.77889999999996,0.2727789
3260000,32,76162097,267.9536,0.2679536
3270000,32,76452529,271.3656,0.27136560000000004
3280000,32,76747969,273.7258,0.2737258
3290000,32,77046381,273.33799999999997,0.273338
3300000,32,77348767,271.3082,0.2713082
3310000,32,77640158,274.8139,0.2748139
3320000,32,77948320,278.4225,0.2784225
3330000,32,78249668,276.243,0.276243
3340000,32,78545610,274.61899999999997,0.274619
3350000,32,78840515,279.0424,0.2790424
3360000,32,79151399,277.659,0.27765900000000004
3370000,32,79457480,277.4783,0.2774783
3380000,32,79753820,278.1585,0.27815850000000003
3390000,32,80046862,287.5759,0.2875759
3400000,32,80360705,283.6405,0.2836405
3410000,32,80673407,285.0842,0.2850842
3420000,32,80948793,289.47679999999997,0.28947680000000003
3430000,32,81262464,287.30989999999997,0.2873099
3440000,32,81570353,288.7639,0.2887639
3450000,32,81875882,290.9259,0.2909259
3460000,32,82185699,299.304,0.299304
3470000,32,82485754,289.015,0.289015
3480000,32,82811326,288.26779999999997,0.2882678
3490000,32,83096821,293.9437,0.29394370000000003
3500000,32,83405601,297.10839999999996,0.2971084
3510000,32,83705383,294.8967,0.2948967
3520000,32,84025525,292.9407,0.2929407
3530000,32,84342196,291.3529,0.2913529
3540000,32,84633749,292.5818,0.2925818
3550000,32,84960272,306.67019999999997,0.3066702
3560000,32,85247697,305.4629,0.30546290000000004
3570000,32,85581581,302.1794,0.30217940000000004
3580000,32,85873875,299.025,0.29902500000000004
3590000,32,86168749,311.67019999999997,0.3116702
3600000,32,86499997,301.51,0.30151
3610000,32,86798522,302.48339999999996,0.3024834
3620000,32,87124700,304.3289,0.3043289
3630000,32,87431251,301.3383,0.3013383
3640000,32,87744353,303.7646,0.3037646
3650000,32,88056904,302.98789999999997,0.30298790000000003
3660000,32,88359458,304.342,0.304342
3670000,32,88667876,305.522,0.305522
3680000,32,88996013,308.56809999999996,0.3085681
3690000,32,89311338,305.5047,0.3055047
3700000,32,89624537,309.3119,0.30931190000000003
3710000,32,89938394,314.8021,0.31480210000000003
3720000,32,90259695,314.0285,0.31402850000000004
3730000,32,90564147,310.8434,0.3108434
3740000,32,90878200,311.721,0.311721
3750000,32,91190738,313.29069999999996,0.31329070000000003
3760000,32,91528256,311.1431,0.3111431
3770000,32,91837706,310.5454,0.3105454
3780000,32,92153894,313.20189999999997,0.31320190000000003
3790000,32,92460578,312.74219999999997,0.3127422
3800000,32,92776343,312.6192,0.31261920000000004
3810000,32,93103532,318.46979999999996,0.3184698
3820000,32,93438187,323.0618,0.3230618
3830000,32,93753859,317.1023,0.3171023
3840000,32,94057161,318.457,0.31845700000000005
3850000,32,94392799,317.1798,0.3171798
3860000,32,94680329,319.14189999999996,0.31914190000000003
3870000,32,94999718,323.35609999999997,0.32335610000000004
3880000,32,95334289,319.78569999999996,0.3197857
3890000,32,95677245,320.77639999999997,0.3207764
3900000,32,95991641,322.7066,0.3227066
3910000,32,96310571,321.99629999999996,0.3219963
3920000,32,96622839,327.9038,0.3279038
3930000,32,96960064,324.9715,0.3249715
3940000,32,97267029,328.52049999999997,0.3285205
3950000,32,97609533,331.3232,0.33132320000000004
3960000,32,97923364,331.5432,0.33154320000000004
3970000,32,98247006,327.15819999999997,0.3271582
3980000,32,98587790,334.1747,0.33417470000000005
3990000,32,98916591,331.09159999999997,0.33109160000000004
4000000,32,99215637,330.3626,0.3303626
4010000,32,99543030,337.87289999999996,0.33787290000000003
4020000,32,99909810,331.631,0.331631
4030000,32,100216364,332.8034,0.3328034
4040000,32,100530721,334.2637,0.3342637
4050000,32,100867734,336.3684,0.3363684
4060000,32,101178957,339.2672,0.33926720000000005
4070000,32,101512344,340.1448,0.3401448
4080000,32,101838654,336.15319999999997,0.33615320000000004
